"year" "title" "gross" "budget" "leng" "score" "profit"
2011 "Conan the Barbarian" 21.295021 90 113 24 -68.704979
2011 "Fright Night" 18.302607 30 106 72 -11.697393
2011 "Spy Kids: All the Time in the World" 38.538188 27 89 22 11.538188
2011 "Glee: The 3D Concert Movie" 11.862398 9 84 60 2.862398
2011 "30 Minutes or Less" 37.053924 28 83 45 9.053924
2011 "Final Destination 5" 42.587643 40 92 61 2.587643
2011 "The Help" 169.708112 25 146 76 144.708112
2011 "The Change-Up" 37.081475 52 112 25 -14.918525
2011 "Rise of the Planet of the Apes" 176.760185 93 105 82 83.760185
2011 "The Smurfs" 142.614158 110 103 22 32.614158
2011 "Crazy, Stupid, Love" 84.351197 50 118 78 34.351197
2011 "Cowboys and Aliens" 100.240551 163 119 44 -62.759449
2011 "Friends with Benefits" 55.802754 35 109 70 20.802754
2011 "Captain America: The First Avenger" 176.654505 140 124 79 36.654505
2011 "Winnie the Pooh" 26.692846 30 63 90 -3.307154
2011 "Harry Potter and the Deathly Hallows: Part 2" 381.011219 125 130 96 256.011219
2011 "Horrible Bosses" 117.538559 35 98 69 82.538559
2011 "Zookeeper" 80.360843 80 102 14 0.360843000000003
2011 "Larry Crowne" 35.608245 30 98 35 5.608245
2011 "Monte Carlo" 23.186769 20 109 38 3.186769
2011 "Transformers: Dark of the Moon" 352.390543 195 92 36 157.390543
2011 "Bad Teacher" 100.292856 19 92 45 81.292856
2011 "Cars 2" 191.452396 200 106 39 -8.54760400000001
2011 "Mr. Popper's Penguins" 68.224452 55 94 48 13.224452
2011 "Green Lantern" 116.601172 200 114 26 -83.398828
2011 "Super 8" 127.004179 50 112 82 77.004179
2011 "Judy Moody and the NOT Bummer Summer" 15.01365 20 91 19 -4.98635
2011 "X-Men: First Class" 146.408305 160 132 87 -13.591695
2011 "Kung Fu Panda 2" 165.249063 150 91 81 15.249063
2011 "The Hangover Part II" 254.464305 80 102 34 174.464305
2011 "Pirates of the Caribbean: On Stranger Tides" 241.071802 250 136 33 -8.92819800000001
2011 "Bridesmaids" 169.106725 32.5 125 90 136.606725
2011 "Priest" 29.136626 60 87 16 -30.863374
2011 "Something Borrowed" 39.046489 35 112 15 4.046489
2011 "Jumping the Broom" 37.295394 7 112 56 30.295394
2011 "Thor" 181.030624 150 115 77 31.030624
2011 "Hoodwinked Too! Hood vs. Evil" 10.143779 30 86 11 -19.856221
2011 "Fast Five" 209.837675 125 130 77 84.837675
2011 "Prom" 10.130219 8 104 36 2.130219
2011 "Tyler Perry's Madea's Big Happy Family" 53.345287 25 106 38 28.345287
2011 "Water for Elephants" 58.709717 38 120 60 20.709717
2011 "Scream 4" 38.180928 40 111 58 -1.819072
2011 "Rio" 143.619809 90 96 72 53.619809
2011 "Hanna" 40.259119 30 111 72 10.259119
2011 "Arthur" 33.035397 40 110 26 -6.964603
2011 "Soul Surfer" 43.853424 18 106 46 25.853424
2011 "Your Highness" 21.596445 50 102 27 -28.403555
